selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Divines,Houda Benyamina,2016,Sarah Gavron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-gavron,,director,UK
Fanny And Alexander,Ingmar Bergman,1982,Sarah Gavron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-gavron,,director,UK
Shoplifters,Hirokazu Koreeda,2018,Sarah Gavron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-gavron,,director,UK
Secrets & Lies,Mike Leigh,1996,Sarah Gavron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-gavron,,director,UK
Man With A Movie Camera,Dziga Vertov,1929,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Modern Times,Charles Chaplin,1936,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Meshes Of The Afternoon,"Maya Deren, Alexander Hackenschmied",1943,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Touki Bouki,Djibril Diop Mambéty,1973,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Sync Touch,Barbara Hammer,1981,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Wandafuru Raifu,Hirokazu Koreeda,1998,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Beau Travail,Claire Denis,1998,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Los Abrazos Rotos,Pedro Almodóvar,2009,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Petite Maman,Céline Sciamma,2021,Sarah K Keller,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-k-keller,Professor of Art and Art History,critic,USA
Singin' In The Rain,"Gene Kelly, Stanley Donen",1951,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
Swing Time,George Stevens,1936,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
The Godfather,Francis Ford Coppola,1972,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
North By Northwest,Alfred Hitchcock,1959,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
Notorious,Alfred Hitchcock,1946,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
Casablanca,Michael Curtiz,1942,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
The Red Shoes,"Michael Powell, Emeric Pressburger",1948,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
His Girl Friday,Howard Hawks,1939,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
Fantasia,"Ben Sharpsteen, Samuel Armstrong, Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson",1940,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
West Side Story,"Robert Wise, Jerome Robbins",1961,Sarah Kaufman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-kaufman,Washington Post Dance Critic,critic,USA
Meshes Of The Afternoon,"Maya Deren, Alexander Hackenschmied",1943,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Pickpocket,Robert Bresson,1959,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Blaise Pascal,Roberto Rossellini,1972,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Taxi Driver,Martin Scorsese,1976,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Heaven's Gate,Michael Cimino,1980,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
The Shining,Stanley Kubrick,1980,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Manhunter,Michael Mann,1986,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Festen,Thomas Vinterberg,1998,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Magnolia,Paul Thomas Anderson,1999,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Under The Skin: 1997,Carine Adler,1997,Sarah Lutton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-lutton,BFI London Film Festival Programme Advisor; Film Programmer and Researcher,critic,UK
Tokyo Story,Yasujirō Ozu,1953,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
The Innocents,Jack Clayton,1961,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
The Lodger  A Story Of The London Fog,Alfred Hitchcock,1926,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Citizen Kane,Orson Welles,1941,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Black Narcissus,"Michael Powell, Emeric Pressburger",1947,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Mildred Pierce,Michael Curtiz,1945,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Taxi Driver,Martin Scorsese,1976,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
All About My Mother,Pedro Almodóvar,1999,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Don't Look Now,Nicolas Roeg,1973,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Orlando,Sally Potter,1992,Sarah Street,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-street,"Professor of Film, University of Bristol UK",critic,UK
Portrait Of A Lady On Fire,Céline Sciamma,2019,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Clouds Of Sils Maria,Olivier Assayas,2014,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Carol,Todd Haynes,2014,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Heir To An Execution,Ivy Meeropol,2004,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Shirley,Josephine Decker,2018,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Marnie,Alfred Hitchcock,1964,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Eve's Bayou,Kasi Lemmons,1997,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
The Silence Of The Lambs,Jonathan Demme,1990,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
The Watermelon Woman,Cheryl Dunye,1997,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
Les Amours D'anaïs,Charline Bourgeois-Tacquet,2020,Sarah Tomasin Fonseca,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sarah-tomasin-fonseca,"Critic, Film Comment",critic,USA
2001: A Space Odyssey,Stanley Kubrick,1968,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
A Man Escaped,Robert Bresson,1956,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
The Godfather Part Ii,Francis Ford Coppola,1974,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
M,Fritz Lang,1931,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Touch Of Evil,Orson Welles,1958,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Raging Bull,Martin Scorsese,1980,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Pat Garrett & Billy The Kid,Sam Peckinpah,1973,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Inland Empire,David Lynch,2006,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Werckmeister Harmonies,Béla Tarr,2000,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Apocalypse Now,Francis Ford Coppola,1979,Sascha Keilholz,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sascha-keilholz,Festival Director,critic,Germany
Come And See,Elem Klimov,1985,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Ikiru,Akira Kurosawa,1952,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
À Bout De Souffle,Jean-Luc Godard,1960,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Taxi Driver,Martin Scorsese,1976,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
The Battle Of Algiers,Gillo Pontecorvo,1966,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Moonlight,Barry Jenkins,2016,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
All Quiet On The Western Front,Lewis Milestone,1930,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Apocalypse Now,Francis Ford Coppola,1979,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Kes,Ken Loach,1969,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Battleship Potemkin,Sergei M. Eisenstein,1925,Saul Dibb,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/saul-dibb,Director,director,UK
Cameraperson,Kirsten Johnson,2016,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Wanda,Barbara Loden,1970,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Mikey And Nicky,Elaine May,1976,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Daisies,Věra Chytilová,1966,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Beau Travail,Claire Denis,1998,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
At Land,Maya Deren,1944,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
The Tied Balloon,Binka Zhelyazkova,1967,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Happy Hour,Ryusuke Hamaguchi,2015,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Moonlight,Barry Jenkins,2016,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Portrait Of A Lady On Fire,Céline Sciamma,2019,Savina Petkova,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/savina-petkova,Film Critic/Academic,critic,Bulgaria/UK
Tropical Malady,Apichatpong Weerasethakul,2004,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Close-Up,Abbas Kiarostami,1989,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Ordet,Carl Th. Dreyer,1955,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
L'argent,Robert Bresson,1983,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Stalker,Andrei Tarkovsky,1979,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Mirror,Andrei Tarkovsky,1975,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Nattvardsgästerna,Ingmar Bergman,1962,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
A Woman Under The Influence,John Cassavetes,1974,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Sånger Från Andra Våningen,Roy Andersson,2000,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
L' Albero Degli Zoccoli,Ermanno Olmi,1978,Sawandi Groskind,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sawandi-groskind,Director,director,Finland
Where Is The Friend's House?,Abbas Kiarostami,1987,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Tokyo Story,Yasujirō Ozu,1953,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Whistle Down The Wind,Bryan Forbes,1961,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Never Rarely Sometimes Always,Eliza Hittman,2020,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Our Little Sister,Hirokazu Kore-eda,2015,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
A Separation,Asghar Farhadi,2011,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Five Easy Pieces,Bob Rafelson,1970,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Certain Women,Kelly Reichardt,2015,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Uzak,Nuri Bilge Ceylan,2002,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
The Headless Woman,Lucrecia Martel,2008,Scott Graham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-graham,Writer-Director,director,USA
Citizen Kane,Orson Welles,1941,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Daughters Of The Dust,Julie Dash,1991,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Limite,Mário Peixoto,1931,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
El Mumia,Shadi Abdelsalam,1970,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Portrait Of A Lady On Fire,Céline Sciamma,2019,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Shoah,Claude Lanzmann,1985,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Sholay,Ramesh Sippy,1975,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Spring In A Small Town,Fei Mu,1948,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
Skazka Skazok,Yuri Norstein,1979,Scott Jordan Harris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-jordan-harris,Critic,critic,UK
The General,"Buster Keaton, Clyde Bruckman",1926,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Window Water Baby Moving,Stan Brakhage,1959,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Shoah,Claude Lanzmann,1985,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
13 Lakes,James Benning,2005,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Le Sang Des Bêtes,Georges Franju,1948,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
M,Fritz Lang,1931,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Swimming To Cambodia,Jonathan Demme,1987,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Man With A Movie Camera,Dziga Vertov,1929,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Psycho: 1960,Alfred Hitchcock,1960,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Symbiopsychotaxiplasm: Take One,William Greaves,1967,Scott MacDonald,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-macdonald,Professor of Film History,critic,USA
Citizen Kane,Orson Welles,1941,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
The Umbrellas Of Cherbourg,Jacques Demy,1964,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
Vertigo,Alfred Hitchcock,1958,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
Tokyo Story,Yasujirō Ozu,1953,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
Taxi Driver,Martin Scorsese,1976,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
The Night Of The Hunter,Charles Laughton,1955,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
Modern Romance,Albert Brooks,1981,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
Blow Out,Brian De Palma,1981,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
In The Mood For Love,Wong Kar Wai,2000,Scott Tobias,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/scott-tobias,Critic,critic,USA
La Règle Du Jeu,Jean Renoir,1939,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
The General,"Buster Keaton, Clyde Bruckman",1926,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Duck Amuck,Chuck Jones,1951,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Nostalgia For The Light,Patricio Guzmán,2010,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Pyaasa,Guru Dutt,1957,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Whale Rider,Nicola Caro,2002,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
La Rue Cases-Nègres,Euzhan Palcy,1983,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Yeelen,Souleymane Cissé,1987,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Wong Fei-Hung,Tsui Hark,1991,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
The Story Of The Kelly Gang,Charles Tait,1906,Sean Cubitt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-cubitt,Professor of Screen and Cultural Studies,critic,UK/Australia
Jaws,Steven Spielberg,1975,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
Rosemary's Baby,Roman Polanski,1968,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
The Deer Hunter,Michael Cimino,1978,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
Coming Home,Hal Ashby,1978,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
Nashville,Robert Altman,1975,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
Klute,Alan J. Pakula,1971,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
Zodiac,David Fincher,2007,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
The Birds,Alfred Hitchcock,1963,Sean Durkin,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/sean-durkin,Director,director,USA
