selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Girlhood,Céline Sciamma,2014,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
The Colour Of Pomegranates,Sergei Paradjanov,1968,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
Code Inconnu  Récit Incomplet De Divers Voyages,Michael Haneke,2000,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
Pather Panchali,Satyajit Ray,1955,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
La Grande Bellezza,Paolo Sorrentino,2013,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
You Won't Be Alone,,2022,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
Calendar,Atom Egoyan,1993,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
How Green Was My Valley,John Ford,1941,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
Notorious,Alfred Hitchcock,1946,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
Late Spring,Yasujirō Ozu,1949,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
Die Bitteren Tränen Der Petra Von Kant,Rainer Werner Fassbinder,1972,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
An American In Paris,Vincente Minnelli,1951,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
Ladies' Man,Jerry Lewis,1961,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
La Région Centrale,Michael Snow,1971,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
Close-Up,Abbas Kiarostami,1989,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
La Saveur De La Pastèque,Tsai Ming-liang,2004,Adam Cook,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-cook,"Critic, curator, scholar",critic,Canada
